StudyID,ParticipantID,Composite pair,Congruent pair,TestID,TrialID,Training,isDesigner,First,Second,Same,Response,Correct,ET,RT,RTnorm,Date,Correctnorm,AUC,AUCnorm
Main,26,True,False,1,36,Non-designer,False,h_AD,h_AB,True,Sure different,0.5555555555555556,383.3,3578.1388888888887,8.168763994675892,2022-06-05 03:24:30,1.6821373411358604,0.6408602150537634,1.8563830202732368
Main,26,True,True,1,12,Non-designer,False,e_AD,e_AD,True,Sure same,0.9166666666666666,383.3,3403.3333333333335,8.127510196239925,2022-06-05 03:24:30,2.555907110132642,0.0,0.0
Main,27,False,False,1,12,Non-designer,False,p_AA,p_DD,False,Sure different,0.9166666666666666,188.9,2996.1666666666665,8.002220216366513,2022-06-04 23:57:00,2.555907110132642,0.0,0.0
Main,27,False,True,1,12,Non-designer,False,b_AA,b_AA,True,Probably same,1.0,188.9,3186.3333333333335,8.061100005066416,2022-06-04 23:57:00,3.141592653589793,0.0,0.0
Main,27,True,False,1,36,Non-designer,False,t_BD,t_AD,False,Sure different,0.5833333333333334,188.9,3889.4444444444443,8.1995392814977,2022-06-04 23:57:00,1.738244406014586,0.7580645161290323,2.113121629569745
Main,27,True,True,1,12,Non-designer,False,t_AD,t_AD,True,Probably same,1.0,188.9,3518.0833333333335,8.15092867491594,2022-06-04 23:57:00,3.141592653589793,0.0,0.0
Main,28,False,False,1,12,Other designer,True,t_AA,t_DD,False,Sure different,1.0,227.8,3167.8333333333335,8.059344126510245,2022-06-04 21:01:57,3.141592653589793,0.0,0.0
Main,28,False,True,1,12,Other designer,True,z_AA,z_AA,True,Sure same,0.5833333333333334,227.8,3814.5833333333335,8.239495384177252,2022-06-04 21:01:57,1.738244406014586,0.0,0.0
Main,28,True,False,1,36,Other designer,True,z_AD,z_BC,False,Sure different,0.8055555555555556,227.8,3821.277777777778,8.230966482783586,2022-06-04 21:01:57,2.2282598831765403,0.8086021505376344,2.235980817521384
Main,28,True,True,1,12,Other designer,True,a_AD,a_AD,True,Probably same,0.8333333333333334,227.8,3925.8333333333335,8.26554403540854,2022-06-04 21:01:57,2.300523983021863,0.0,0.0
Main,29,False,False,1,12,Non-designer,False,r_AA,r_DD,False,Sure different,0.8333333333333334,150.0,2967.5,7.990350417123735,2022-06-04 20:40:34,2.300523983021863,0.0,0.0
Main,29,False,True,1,12,Non-designer,False,r_AA,r_AA,True,Sure same,0.9166666666666666,150.0,2705.9166666666665,7.8787067508514745,2022-06-04 20:40:34,2.555907110132642,0.0,0.0
Main,29,True,False,1,36,Non-designer,False,j_BC,j_AD,False,Sure same,0.5555555555555556,150.0,2943.1666666666665,7.9705071750388266,2022-06-04 20:40:34,1.6821373411358604,0.7666666666666666,2.133332571338752
Main,29,True,True,1,12,Non-designer,False,p_AD,p_AD,True,Sure same,1.0,150.0,2679.9166666666665,7.883079922886947,2022-06-04 20:40:34,3.141592653589793,0.0,0.0
Main,30,False,False,1,12,Typographer,True,c_AA,c_DD,False,Sure different,1.0,188.9,3089.5833333333335,8.028688398963602,2022-06-04 20:14:21,3.141592653589793,0.0,0.0
Main,30,False,True,1,12,Typographer,True,t_AA,t_AA,True,Probably different,0.8333333333333334,188.9,2510.3333333333335,7.82255835023873,2022-06-04 20:14:21,2.300523983021863,0.0,0.0
